Слово,Семантическая роль,Полная семантическая разметка
Юрий,аудитория,t:hum;r:propn;t:persn
Шофёр,агенс,t:hum;r:concr;t:prof
Шофёр,аудитория,t:hum;r:concr;t:prof
пассажиром,агенс,t:hum;r:concr
пассажиром,аудитория,t:hum;r:concr
днях,аспект,pc:day;r:abstr;pt:part;t:time
жительница,агенс,t:hum;d:fem;r:concr;der:s
жительница,аудитория,t:hum;d:fem;r:concr;der:s
Мария,агенс,t:hum;r:propn;t:persn
Мария,адресат,t:hum;r:propn;t:persn
Мария,аудитория,t:hum;r:propn;t:persn
девушкой,агенс,t:hum;r:concr;der:s
девушкой,аудитория,t:hum;r:concr;der:s
Людмилой,агенс,t:hum;r:propn;t:persn
Людмилой,адресат,t:hum;r:propn;t:persn
Людмилой,аудитория,t:hum;r:propn;t:persn
Девушка,агенс,t:hum;r:concr;der:s
Девушка,аудитория,t:hum;r:concr;der:s
Мария,агенс,t:hum;r:propn;t:persn
Мария,адресат,t:hum;r:propn;t:persn
Мария,аудитория,t:hum;r:propn;t:persn
Мария,агенс,t:hum;r:propn;t:persn
Мария,адресат,t:hum;r:propn;t:persn
Мария,аудитория,t:hum;r:propn;t:persn
Людмила,агенс,t:hum;r:propn;t:persn
Людмила,адресат,t:hum;r:propn;t:persn
Людмила,аудитория,t:hum;r:propn;t:persn
утром,аспект,pc:day;r:abstr;pt:part;t:time
Мария,агенс,t:hum;r:propn;t:persn
Мария,адресат,t:hum;r:propn;t:persn
Мария,аудитория,t:hum;r:propn;t:persn
Людмилы,агенс,t:hum;r:propn;t:persn
Людмилы,адресат,t:hum;r:propn;t:persn
Людмилы,аудитория,t:hum;r:propn;t:persn
Юрий,агенс,t:hum;r:propn;t:persn
Юрий,адресат,t:hum;r:propn;t:persn
Юрий,аудитория,t:hum;r:propn;t:persn
люди,агенс,t:hum;r:concr
люди,аудитория,t:hum;r:concr
любви,агенс,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
любви,адресат,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
любви,аудитория,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
детям,агенс,t:hum;r:concr
детям,аудитория,t:hum;r:concr
люди,агенс,t:hum;r:concr
люди,аудитория,t:hum;r:concr
людьми,агенс,t:hum;r:concr
людьми,аудитория,t:hum;r:concr
Гетманову,агенс,t:hum;r:propn;t:famn
Гетманову,аудитория,t:hum;r:propn;t:famn
сейчас,аспект,der:comp;t:time
Неудобнову,агенс,t:hum;r:propn;t:famn
Неудобнову,аудитория,t:hum;r:propn;t:famn
Андреев,агенс,t:hum;r:propn;t:famn
Андреев,аудитория,t:hum;r:propn;t:famn
Пора,аспект,t:space;r:abstr;t:time;pc:partb;r:concr;top:hole
Вера,агенс,t:ment;t:hum;r:propn;r:abstr;t:persn
Вера,адресат,t:ment;t:hum;r:propn;r:abstr;t:persn
Вера,аудитория,t:ment;t:hum;r:propn;r:abstr;t:persn
отсюда,адресат,t:place;der:advpro;r:dem
тут,адресат,t:place;r:dem
больницы,агенс,r:concr;t:org;der:s
больницы,адресат,r:concr;t:org;der:s
сейчас,аспект,der:comp;t:time
пастырем,агенс,der:v;t:hum;r:concr;d:nag;t:prof
пастырем,аудитория,der:v;t:hum;r:concr;d:nag;t:prof
Чернецов,агенс,t:hum;r:propn;t:famn
Чернецов,аудитория,t:hum;r:propn;t:famn
Мостовской,агенс,t:hum;r:propn;t:famn
Мостовской,аудитория,t:hum;r:propn;t:famn
Вершкова,агенс,t:hum;r:propn;t:famn
Вершкова,аудитория,t:hum;r:propn;t:famn
командир,агенс,der:v;t:hum;t:armpos;r:concr;d:nag
командир,аудитория,der:v;t:hum;t:armpos;r:concr;d:nag
одновременно,аспект,dt:time;der:a;t:time
танкисту,агенс,t:hum;r:concr;der:s;t:prof
танкисту,аудитория,t:hum;r:concr;der:s;t:prof
тут,адресат,t:place;r:dem
тут,адресат,t:place;r:dem
человек,агенс,t:hum;r:concr
человек,аудитория,t:hum;r:concr
старушкой,агенс,t:hum;d:fem;r:concr;der:s;d:dim
старушкой,аудитория,t:hum;d:fem;r:concr;der:s;d:dim
Штрум,агенс,t:hum;r:propn;t:famn
Штрум,аудитория,t:hum;r:propn;t:famn
Каримова,агенс,t:hum;r:propn;t:famn
Каримова,аудитория,t:hum;r:propn;t:famn
лейтенанта,агенс,t:hum;t:armpos;r:concr
лейтенанта,аудитория,t:hum;t:armpos;r:concr
надежду,агенс,t:ment;t:hum;r:propn;r:abstr;t:persn
надежду,адресат,t:ment;t:hum;r:propn;r:abstr;t:persn
надежду,аудитория,t:ment;t:hum;r:propn;r:abstr;t:persn
Штрум,агенс,t:hum;r:propn;t:famn
Штрум,аудитория,t:hum;r:propn;t:famn
Морозов,агенс,t:hum;r:propn;t:famn
Морозов,аудитория,t:hum;r:propn;t:famn
Новикове,агенс,t:hum;r:propn;t:famn
Новикове,аудитория,t:hum;r:propn;t:famn
подобными,атрибут,t:qual
Штрум,агенс,t:hum;r:propn;t:famn
Штрум,аудитория,t:hum;r:propn;t:famn
сразу,аспект,t:time
женщины,агенс,t:hum;r:concr
женщины,аудитория,t:hum;r:concr
никогда,аспект,der:advpro;r:neg;t:time
людей,агенс,t:hum;r:concr
людей,аудитория,t:hum;r:concr
потом,аспект,t:time
Прохожие,агенс,der:v;t:hum;r:concr;der:subst
Прохожие,аудитория,der:v;t:hum;r:concr;der:subst
иногда,аспект,r:spec;t:time
люди,агенс,t:hum;r:concr
люди,аудитория,t:hum;r:concr
теперь,аспект,t:time;r:dem
собутыльника,агенс,t:hum;r:concr;der:s
собутыльника,аудитория,t:hum;r:concr;der:s
Алевтина,агенс,t:hum;r:propn;t:persn
Алевтина,адресат,t:hum;r:propn;t:persn
Алевтина,аудитория,t:hum;r:propn;t:persn
мая,агенс,t:pers;t:famn;t:time:month;r:abstr;r:propn;t:hum
мая,аудитория,t:pers;t:famn;t:time:month;r:abstr;r:propn;t:hum
ночь,аспект,pc:day;r:abstr;pt:part;t:time
мая,агенс,t:pers;t:famn;t:time:month;r:abstr;r:propn;t:hum
мая,аудитория,t:pers;t:famn;t:time:month;r:abstr;r:propn;t:hum
утра,аспект,pc:day;r:abstr;pt:part;t:time
школой,агенс,r:concr;t:org
школой,адресат,r:concr;t:org
Вечером,аспект,pc:day;r:abstr;pt:part;t:time
накануне,аспект,der:s;t:time
Теперь,аспект,t:time;r:dem
внизу,адресат,t:place;der:s
Зое,агенс,d:dimb;t:hum;r:propn;t:persn
Зое,адресат,d:dimb;t:hum;r:propn;t:persn
Зое,аудитория,d:dimb;t:hum;r:propn;t:persn
Петровне,агенс,t:hum;t:patrn;r:propn;der:s
Петровне,аудитория,t:hum;t:patrn;r:propn;der:s
женщину,агенс,t:hum;r:concr
женщину,аудитория,t:hum;r:concr
поздно,аспект,dt:time;der:a;t:time
полночь,аспект,ev:posit;r:abstr;t:time
ученики,агенс,der:v;t:hum;r:concr;d:nag
ученики,аудитория,der:v;t:hum;r:concr;d:nag
коллеги,агенс,t:hum;r:concr
коллеги,аудитория,t:hum;r:concr
учителя,агенс,der:v;t:hum;r:concr;d:nag;t:prof
учителя,аудитория,der:v;t:hum;r:concr;d:nag;t:prof
любовью,агенс,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
любовью,адресат,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
любовью,аудитория,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
утру,аспект,pc:day;r:abstr;pt:part;t:time
победителем,агенс,der:v;t:hum;r:concr;d:nag
победителем,аудитория,der:v;t:hum;r:concr;d:nag
новёхонький,аспект,d:dim;t:time;der:a;r:qual
человеком,агенс,t:hum;r:concr
человеком,аудитория,t:hum;r:concr
наконец,аспект,der:s;t:time
Геннадий,агенс,t:hum;r:propn;t:persn
Геннадий,адресат,t:hum;r:propn;t:persn
Геннадий,аудитория,t:hum;r:propn;t:persn
начальника,агенс,t:hum;r:concr
начальника,аудитория,t:hum;r:concr
человека,агенс,t:hum;r:concr
человека,аудитория,t:hum;r:concr
Инженер,агенс,t:hum;r:concr;t:prof
Инженер,аудитория,t:hum;r:concr;t:prof
атомщик,агенс,t:hum;der:a;r:concr;t:prof
атомщик,аудитория,t:hum;der:a;r:concr;t:prof
юродивый,агенс,t:hum;der:a;r:concr;der:subst
юродивый,аудитория,t:hum;der:a;r:concr;der:subst
человек,агенс,t:hum;r:concr
человек,аудитория,t:hum;r:concr
обманщики,агенс,der:v;t:hum;r:concr;d:nag;ev:neg
обманщики,аудитория,der:v;t:hum;r:concr;d:nag;ev:neg
детективов,агенс,t:hum;r:concr
детективов,аудитория,t:hum;r:concr
гражданин,агенс,t:hum;r:concr
гражданин,аудитория,t:hum;r:concr
сынок,агенс,t:hum;r:concr;der:s;d:dim
сынок,аудитория,t:hum;r:concr;der:s;d:dim
инженер,агенс,t:hum;r:concr;t:prof
инженер,аудитория,t:hum;r:concr;t:prof
атомщик,агенс,t:hum;der:a;r:concr;t:prof
атомщик,аудитория,t:hum;der:a;r:concr;t:prof
сынка,агенс,t:hum;r:concr;der:s;d:dim
сынка,аудитория,t:hum;r:concr;der:s;d:dim
вон,адресат,t:place;r:dem
потом,аспект,t:time
СЭС,агенс,r:concr;t:org
СЭС,адресат,r:concr;t:org
отсюда,адресат,t:place;der:advpro;r:dem
дурак,агенс,d:masc;t:hum;r:concr;ev:neg
дурак,аудитория,d:masc;t:hum;r:concr;ev:neg
новенького,аспект,ev:posit;der:a;dt:time;t:time;d:dim;r:rel
Геной,агенс,d:dimb;t:hum;r:propn;der:s;t:persn
Геной,адресат,d:dimb;t:hum;r:propn;der:s;t:persn
Геной,аудитория,d:dimb;t:hum;r:propn;der:s;t:persn
где-нибудь,адресат,t:place;r:indet;der:advpro
здесь,адресат,t:place;r:dem
сейчас,аспект,der:comp;t:time
день,аспект,pc:day;r:abstr;pt:part;t:time
скотина,агенс,sc:animal;t:famn;t:animal;pt:ind;pt:aggr;r:propn;der:s;t:hum;r:concr
скотина,аудитория,sc:animal;t:famn;t:animal;pt:ind;pt:aggr;r:propn;der:s;t:hum;r:concr
день,аспект,pc:day;r:abstr;pt:part;t:time
Невеста,агенс,t:hum;r:concr
Невеста,аудитория,t:hum;r:concr
невеста,агенс,t:hum;r:concr
невеста,аудитория,t:hum;r:concr
Официантки,агенс,t:hum;d:fem;r:concr;der:s
Официантки,аудитория,t:hum;d:fem;r:concr;der:s
официанты,агенс,t:hum;r:concr;t:prof
официанты,аудитория,t:hum;r:concr;t:prof
Сокольский,агенс,t:hum;r:propn;t:famn
Сокольский,аудитория,t:hum;r:propn;t:famn
бедняга,агенс,t:hum;ev;r:concr;der:a
бедняга,аудитория,t:hum;ev;r:concr;der:a
тут,адресат,t:place;r:dem
уже,аспект,t:time
здесь,адресат,t:place;r:dem
девочка,агенс,t:hum;r:concr
девочка,аудитория,t:hum;r:concr
домработница,агенс,der:comp;t:hum;d:fem;r:concr;t:prof
домработница,аудитория,der:comp;t:hum;d:fem;r:concr;t:prof
Достоевский,агенс,t:hum;r:propn;t:famn
Достоевский,аудитория,t:hum;r:propn;t:famn
несчастных,агенс,t:hum;ev;r:concr;der:a;der:subst
несчастных,аудитория,t:hum;ev;r:concr;der:a;der:subst
дети,агенс,t:hum;r:concr
дети,аудитория,t:hum;r:concr
Достоевский,агенс,t:hum;r:propn;t:famn
Достоевский,аудитория,t:hum;r:propn;t:famn
людей,агенс,t:hum;r:concr
людей,аудитория,t:hum;r:concr
настоящего,аспект,r:rel;t:time
Достоевский,агенс,t:hum;r:propn;t:famn
Достоевский,аудитория,t:hum;r:propn;t:famn
Нержину,агенс,t:hum;r:propn;t:famn
Нержину,аудитория,t:hum;r:propn;t:famn
внешнюю,адресат,t:place;r:rel;der:adv
Симочке,агенс,d:dimb;t:hum;r:propn;t:persn
Симочке,адресат,d:dimb;t:hum;r:propn;t:persn
Симочке,аудитория,d:dimb;t:hum;r:propn;t:persn
прежде,аспект,dt:time;der:a;t:time
Симочка,агенс,d:dimb;t:hum;r:propn;t:persn
Симочка,адресат,d:dimb;t:hum;r:propn;t:persn
Симочка,аудитория,d:dimb;t:hum;r:propn;t:persn
сегодня,аспект,der:comp;t:time
левую,адресат,t:place;r:qual
Симочка,агенс,d:dimb;t:hum;r:propn;t:persn
Симочка,адресат,d:dimb;t:hum;r:propn;t:persn
Симочка,аудитория,d:dimb;t:hum;r:propn;t:persn
Нержин,агенс,t:hum;r:propn;t:famn
Нержин,аудитория,t:hum;r:propn;t:famn
Ростислав,агенс,t:hum;r:propn;t:persn
Ростислав,адресат,t:hum;r:propn;t:persn
Ростислав,аудитория,t:hum;r:propn;t:persn
девушка,агенс,t:hum;r:concr;der:s
девушка,аудитория,t:hum;r:concr;der:s
девушка,агенс,t:hum;r:concr;der:s
девушка,аудитория,t:hum;r:concr;der:s
сегодня,аспект,der:comp;t:time
вечером,аспект,pc:day;r:abstr;pt:part;t:time
девушки,агенс,t:hum;r:concr;der:s
девушки,аудитория,t:hum;r:concr;der:s
Руська,агенс,d:dimb;t:hum;r:propn;t:persn
Руська,адресат,d:dimb;t:hum;r:propn;t:persn
Руська,аудитория,d:dimb;t:hum;r:propn;t:persn
героя,агенс,t:hum;ev:posit;r:concr
героя,аудитория,t:hum;ev:posit;r:concr
уже,аспект,t:time
девушка,агенс,t:hum;r:concr;der:s
девушка,аудитория,t:hum;r:concr;der:s
тогда,аспект,t:time;r:dem
Красной,атрибут,t:physq:color;r:qual
всегда,аспект,r:spec;t:time
никогда,аспект,der:advpro;r:neg;t:time
вокруг,адресат,t:place;der:s
тут,адресат,t:place;r:dem
тюремщиками,агенс,t:hum;r:concr;der:s
тюремщиками,аудитория,t:hum;r:concr;der:s
женщины,агенс,t:hum;r:concr
женщины,аудитория,t:hum;r:concr
Клара,агенс,t:hum;r:propn;t:persn
Клара,адресат,t:hum;r:propn;t:persn
Клара,аудитория,t:hum;r:propn;t:persn
Клара,агенс,t:hum;r:propn;t:persn
Клара,адресат,t:hum;r:propn;t:persn
Клара,аудитория,t:hum;r:propn;t:persn
теперь,аспект,t:time;r:dem
Дмитриев,агенс,t:hum;r:propn;t:famn
Дмитриев,аудитория,t:hum;r:propn;t:famn
Где,адресат,t:place;r:rel
Паша,агенс,t:hum;r:propn;r:concr;t:persn
Паша,адресат,t:hum;r:propn;r:concr;t:persn
Паша,аудитория,t:hum;r:propn;r:concr;t:persn
всегда,аспект,r:spec;t:time
Ксении,агенс,t:hum;r:propn;t:persn
Ксении,адресат,t:hum;r:propn;t:persn
Ксении,аудитория,t:hum;r:propn;t:persn
Фёдоровны,агенс,t:hum;t:patrn;r:propn;der:s
Фёдоровны,аудитория,t:hum;t:patrn;r:propn;der:s
врачей,агенс,t:hum;r:concr
врачей,аудитория,t:hum;r:concr
Дмитриев,агенс,t:hum;r:propn;t:famn
Дмитриев,аудитория,t:hum;r:propn;t:famn
Теперь,аспект,t:time;r:dem
дома,адресат,t:place;der:s
Паша,агенс,t:hum;r:propn;r:concr;t:persn
Паша,адресат,t:hum;r:propn;r:concr;t:persn
Паша,аудитория,t:hum;r:propn;r:concr;t:persn
Сниткин,агенс,t:hum;r:propn;t:famn
Сниткин,аудитория,t:hum;r:propn;t:famn
школу,агенс,r:concr;t:org
школу,адресат,r:concr;t:org
школа,агенс,r:concr;t:org
школа,адресат,r:concr;t:org
девочке,агенс,t:hum;r:concr
девочке,аудитория,t:hum;r:concr
Сниткиных,агенс,t:hum;r:propn;t:famn
Сниткиных,аудитория,t:hum;r:propn;t:famn
человек,агенс,t:hum;r:concr
человек,аудитория,t:hum;r:concr
девочка,агенс,t:hum;r:concr
девочка,аудитория,t:hum;r:concr
школу,агенс,r:concr;t:org
школу,адресат,r:concr;t:org
человек,агенс,t:hum;r:concr
человек,аудитория,t:hum;r:concr
школу,агенс,r:concr;t:org
школу,адресат,r:concr;t:org
новые,аспект,t:time;r:qual
Дмитриев,агенс,t:hum;r:propn;t:famn
Дмитриев,аудитория,t:hum;r:propn;t:famn
Ксении,агенс,t:hum;r:propn;t:persn
Ксении,адресат,t:hum;r:propn;t:persn
Ксении,аудитория,t:hum;r:propn;t:persn
Федоровне,агенс,t:hum;t:patrn;r:propn;der:s
Федоровне,аудитория,t:hum;t:patrn;r:propn;der:s
Таня,агенс,d:dimb;t:hum;r:propn;t:persn
Таня,адресат,d:dimb;t:hum;r:propn;t:persn
Таня,аудитория,d:dimb;t:hum;r:propn;t:persn
Дмитриев,агенс,t:hum;r:propn;t:famn
Дмитриев,аудитория,t:hum;r:propn;t:famn
Ксении,агенс,t:hum;r:propn;t:persn
Ксении,адресат,t:hum;r:propn;t:persn
Ксении,аудитория,t:hum;r:propn;t:persn
Федоровне,агенс,t:hum;t:patrn;r:propn;der:s
Федоровне,аудитория,t:hum;t:patrn;r:propn;der:s
Таня,агенс,d:dimb;t:hum;r:propn;t:persn
Таня,адресат,d:dimb;t:hum;r:propn;t:persn
Таня,аудитория,d:dimb;t:hum;r:propn;t:persn
летом,аспект,t:time:season;r:abstr;t:time
Таня,агенс,d:dimb;t:hum;r:propn;t:persn
Таня,адресат,d:dimb;t:hum;r:propn;t:persn
Таня,аудитория,d:dimb;t:hum;r:propn;t:persn
иногда,аспект,r:spec;t:time
Тани,агенс,d:dimb;t:hum;r:propn;t:persn
Тани,адресат,d:dimb;t:hum;r:propn;t:persn
Тани,аудитория,d:dimb;t:hum;r:propn;t:persn
всегда,аспект,r:spec;t:time
люди,агенс,t:hum;r:concr
люди,аудитория,t:hum;r:concr
люди,агенс,t:hum;r:concr
люди,аудитория,t:hum;r:concr
друзья,агенс,t:hum;r:concr
друзья,аудитория,t:hum;r:concr
Георгия,агенс,t:hum;r:propn;t:persn
Георгия,адресат,t:hum;r:propn;t:persn
Георгия,аудитория,t:hum;r:propn;t:persn
Алексеевича,агенс,t:hum;t:patrn;r:propn;der:s
Алексеевича,аудитория,t:hum;t:patrn;r:propn;der:s
старухи,агенс,t:hum;d:fem;r:concr;der:s
старухи,аудитория,t:hum;d:fem;r:concr;der:s
друзья,агенс,t:hum;r:concr
друзья,аудитория,t:hum;r:concr
приятельницы,агенс,t:hum;d:fem;r:concr;der:s
приятельницы,аудитория,t:hum;d:fem;r:concr;der:s
врачам,агенс,t:hum;r:concr
врачам,аудитория,t:hum;r:concr
провинциальные,адресат,t:place;dt:space;r:rel;der:s
девочки,агенс,t:hum;r:concr
девочки,аудитория,t:hum;r:concr
мальчики,агенс,t:hum;r:concr
мальчики,аудитория,t:hum;r:concr
дети,агенс,t:hum;r:concr
дети,аудитория,t:hum;r:concr
институты,агенс,r:concr;t:org
институты,адресат,r:concr;t:org
где,адресат,t:place;r:rel
давно,аспект,t:time
время,аспект,r:abstr;t:param;t:time
человеком,агенс,t:hum;r:concr
человеком,аудитория,t:hum;r:concr
Лена,агенс,d:dimb;t:hum;r:propn;der:s;t:persn
Лена,адресат,d:dimb;t:hum;r:propn;der:s;t:persn
Лена,аудитория,d:dimb;t:hum;r:propn;der:s;t:persn
Дмитриеву,агенс,t:hum;r:propn;t:famn
Дмитриеву,аудитория,t:hum;r:propn;t:famn
ханжа,агенс,t:hum;r:concr;ev:neg
ханжа,аудитория,t:hum;r:concr;ev:neg
ханжа,агенс,t:hum;r:concr;ev:neg
ханжа,аудитория,t:hum;r:concr;ev:neg
ханжа,агенс,t:hum;r:concr;ev:neg
ханжа,аудитория,t:hum;r:concr;ev:neg
Лора,агенс,t:hum;r:propn;t:persn
Лора,адресат,t:hum;r:propn;t:persn
Лора,аудитория,t:hum;r:propn;t:persn
свидетелями,агенс,der:v;t:hum;r:concr;d:nag
свидетелями,аудитория,der:v;t:hum;r:concr;d:nag
Наташки,агенс,d:dimb;t:hum;r:propn;t:persn
Наташки,адресат,d:dimb;t:hum;r:propn;t:persn
Наташки,аудитория,d:dimb;t:hum;r:propn;t:persn
дней,аспект,pc:day;r:abstr;pt:part;t:time
порой,аспект,t:space;r:abstr;t:time;pc:partb;r:concr;top:hole
Лора,агенс,t:hum;r:propn;t:persn
Лора,адресат,t:hum;r:propn;t:persn
Лора,аудитория,t:hum;r:propn;t:persn
Витька,агенс,d:dimb;t:hum;r:propn;t:persn
Витька,адресат,d:dimb;t:hum;r:propn;t:persn
Витька,аудитория,d:dimb;t:hum;r:propn;t:persn
Лукьяновы,агенс,t:hum;r:propn;t:famn
Лукьяновы,аудитория,t:hum;r:propn;t:famn
Лены,агенс,d:dimb;t:hum;r:propn;der:s;t:persn
Лены,адресат,d:dimb;t:hum;r:propn;der:s;t:persn
Лены,аудитория,d:dimb;t:hum;r:propn;der:s;t:persn
Жене,агенс,d:dimb;t:hum;r:propn;t:persn
Жене,адресат,d:dimb;t:hum;r:propn;t:persn
Жене,аудитория,d:dimb;t:hum;r:propn;t:persn
всегда,аспект,r:spec;t:time
люди,агенс,t:hum;r:concr
люди,аудитория,t:hum;r:concr
Дмитриев,агенс,t:hum;r:propn;t:famn
Дмитриев,аудитория,t:hum;r:propn;t:famn
Жене,агенс,d:dimb;t:hum;r:propn;t:persn
Жене,адресат,d:dimb;t:hum;r:propn;t:persn
Жене,аудитория,d:dimb;t:hum;r:propn;t:persn
Лена,агенс,d:dimb;t:hum;r:propn;der:s;t:persn
Лена,адресат,d:dimb;t:hum;r:propn;der:s;t:persn
Лена,аудитория,d:dimb;t:hum;r:propn;der:s;t:persn
Лены,агенс,d:dimb;t:hum;r:propn;der:s;t:persn
Лены,адресат,d:dimb;t:hum;r:propn;der:s;t:persn
Лены,аудитория,d:dimb;t:hum;r:propn;der:s;t:persn
Лора,агенс,t:hum;r:propn;t:persn
Лора,адресат,t:hum;r:propn;t:persn
Лора,аудитория,t:hum;r:propn;t:persn
Лене,агенс,d:dimb;t:hum;r:propn;der:s;t:persn
Лене,адресат,d:dimb;t:hum;r:propn;der:s;t:persn
Лене,аудитория,d:dimb;t:hum;r:propn;der:s;t:persn
Дмитриев,агенс,t:hum;r:propn;t:famn
Дмитриев,аудитория,t:hum;r:propn;t:famn
Таня,агенс,d:dimb;t:hum;r:propn;t:persn
Таня,адресат,d:dimb;t:hum;r:propn;t:persn
Таня,аудитория,d:dimb;t:hum;r:propn;t:persn
Тома,агенс,d:dimb;t:hum;r:propn;der:s;t:persn
Тома,адресат,d:dimb;t:hum;r:propn;der:s;t:persn
Тома,аудитория,d:dimb;t:hum;r:propn;der:s;t:persn
Напротив,адресат,t:place
Кукоцких,агенс,t:hum;r:propn;t:famn
Кукоцких,аудитория,t:hum;r:propn;t:famn
Тому,агенс,d:dimb;t:hum;r:propn;der:s;t:persn
Тому,адресат,d:dimb;t:hum;r:propn;der:s;t:persn
Тому,аудитория,d:dimb;t:hum;r:propn;der:s;t:persn
лето,аспект,t:time:season;r:abstr;t:time
Тома,агенс,d:dimb;t:hum;r:propn;der:s;t:persn
Тома,адресат,d:dimb;t:hum;r:propn;der:s;t:persn
Тома,аудитория,d:dimb;t:hum;r:propn;der:s;t:persn
лето,аспект,t:time:season;r:abstr;t:time
ежедневной,аспект,der:comp;r:rel;t:time
Таней,агенс,d:dimb;t:hum;r:propn;t:persn
Таней,адресат,d:dimb;t:hum;r:propn;t:persn
Таней,аудитория,d:dimb;t:hum;r:propn;t:persn
утра,аспект,pc:day;r:abstr;pt:part;t:time
вечера,аспект,pc:day;r:abstr;pt:part;t:time
трехмесячную,аспект,der:comp;r:rel;t:time
мужики,агенс,t:hum;r:concr;der:s
мужики,аудитория,t:hum;r:concr;der:s
Томе,агенс,d:dimb;t:hum;r:propn;der:s;t:persn
Томе,адресат,d:dimb;t:hum;r:propn;der:s;t:persn
Томе,аудитория,d:dimb;t:hum;r:propn;der:s;t:persn
любви,агенс,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
любви,адресат,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
любви,аудитория,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
уже,аспект,t:time
подобного,атрибут,t:qual
Павел,агенс,t:hum;r:propn;t:persn
Павел,адресат,t:hum;r:propn;t:persn
Павел,аудитория,t:hum;r:propn;t:persn
Алексеевич,агенс,t:hum;t:patrn;r:propn;der:s
Алексеевич,аудитория,t:hum;t:patrn;r:propn;der:s
Тогда,аспект,t:time;r:dem
Таня,агенс,d:dimb;t:hum;r:propn;t:persn
Таня,адресат,d:dimb;t:hum;r:propn;t:persn
Таня,аудитория,d:dimb;t:hum;r:propn;t:persn
Геной,агенс,d:dimb;t:hum;r:propn;der:s;t:persn
Геной,адресат,d:dimb;t:hum;r:propn;der:s;t:persn
Геной,аудитория,d:dimb;t:hum;r:propn;der:s;t:persn
Кукоцких,агенс,t:hum;r:propn;t:famn
Кукоцких,аудитория,t:hum;r:propn;t:famn
Гена,агенс,d:dimb;t:hum;r:propn;der:s;t:persn
Гена,адресат,d:dimb;t:hum;r:propn;der:s;t:persn
Гена,аудитория,d:dimb;t:hum;r:propn;der:s;t:persn
Таня,агенс,d:dimb;t:hum;r:propn;t:persn
Таня,адресат,d:dimb;t:hum;r:propn;t:persn
Таня,аудитория,d:dimb;t:hum;r:propn;t:persn
дома,адресат,t:place;der:s
Таня,агенс,d:dimb;t:hum;r:propn;t:persn
Таня,адресат,d:dimb;t:hum;r:propn;t:persn
Таня,аудитория,d:dimb;t:hum;r:propn;t:persn
Витальке,агенс,d:dimb;t:hum;r:propn;t:persn
Витальке,адресат,d:dimb;t:hum;r:propn;t:persn
Витальке,аудитория,d:dimb;t:hum;r:propn;t:persn
Гена,агенс,d:dimb;t:hum;r:propn;der:s;t:persn
Гена,адресат,d:dimb;t:hum;r:propn;der:s;t:persn
Гена,аудитория,d:dimb;t:hum;r:propn;der:s;t:persn
Таней,агенс,d:dimb;t:hum;r:propn;t:persn
Таней,адресат,d:dimb;t:hum;r:propn;t:persn
Таней,аудитория,d:dimb;t:hum;r:propn;t:persn
новая,аспект,t:time;r:qual
Виталька,агенс,d:dimb;t:hum;r:propn;t:persn
Виталька,адресат,d:dimb;t:hum;r:propn;t:persn
Виталька,аудитория,d:dimb;t:hum;r:propn;t:persn
отдельно,адресат,t:place;der:a
Таней,агенс,d:dimb;t:hum;r:propn;t:persn
Таней,адресат,d:dimb;t:hum;r:propn;t:persn
Таней,аудитория,d:dimb;t:hum;r:propn;t:persn
Виталька,агенс,d:dimb;t:hum;r:propn;t:persn
Виталька,адресат,d:dimb;t:hum;r:propn;t:persn
Виталька,аудитория,d:dimb;t:hum;r:propn;t:persn
Гена,агенс,d:dimb;t:hum;r:propn;der:s;t:persn
Гена,адресат,d:dimb;t:hum;r:propn;der:s;t:persn
Гена,аудитория,d:dimb;t:hum;r:propn;der:s;t:persn
синюю,атрибут,t:physq:color;r:qual
Таню,агенс,d:dimb;t:hum;r:propn;t:persn
Таню,адресат,d:dimb;t:hum;r:propn;t:persn
Таню,аудитория,d:dimb;t:hum;r:propn;t:persn
метро,агенс,t:tool:transp;t:constr;r:concr;t:org;top:contain
метро,адресат,t:tool:transp;t:constr;r:concr;t:org;top:contain
поутру,аспект,der:s;t:time
времени,аспект,r:abstr;t:param;t:time
сразу,аспект,t:time
Склиф,агенс,r:propn;t:org
Склиф,адресат,r:propn;t:org
позднее,аспект,dt:time;der:a;t:time
Анатолию,агенс,t:hum;r:propn;t:persn
Анатолию,адресат,t:hum;r:propn;t:persn
Анатолию,аудитория,t:hum;r:propn;t:persn
человек,агенс,t:hum;r:concr
человек,аудитория,t:hum;r:concr
Красной,атрибут,t:physq:color;r:qual
Колюня,агенс,d:dimb;t:hum;r:propn;t:persn
Колюня,адресат,d:dimb;t:hum;r:propn;t:persn
Колюня,аудитория,d:dimb;t:hum;r:propn;t:persn
Глеб,агенс,t:hum;r:propn;t:persn
Глеб,адресат,t:hum;r:propn;t:persn
